date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,USD_raw,EUR_raw,GBP_raw,JPY_raw,CNY_raw,GDP_bigmac,adj_price,USD_adjusted,EUR_adjusted,GBP_adjusted,JPY_adjusted,CNY_adjusted
4/1/2000,ARG,ARS,Argentina,2.5,1,2.5,0.11607,0.05007,-0.16722,-0.09864,1.09091,7803.328512,1.928166998,0.39739,0.16547,-0.06363,0.10547,0.96883
4/1/2000,AUS,AUD,Australia,2.59,1.68,1.541666667,-0.31176,-0.35246,-0.48645,-0.44416,0.28939,29165.76865,2.31713068,-0.28293,-0.40194,-0.5195,-0.43273,0.01031
4/1/2000,BRA,BRL,Brazil,2.95,1.79,1.648044693,-0.26427,-0.30778,-0.45102,-0.40581,0.37836,4822.738983,1.87389693,-0.05214,-0.20945,-0.36485,-0.25015,0.33548
4/1/2000,CAN,CAD,Canada,2.85,1.47,1.93877551,-0.13448,-0.18566,-0.35417,-0.30099,0.62152,26087.32924,2.261078978,-0.07587,-0.22924,-0.38075,-0.26892,0.30204
4/1/2000,CHE,CHF,Switzerland,5.9,1.7,3.470588235,0.54937,0.45774,0.15609,0.2513,1.90267,23820.70709,2.219808707,0.68504,0.40537,0.12912,0.33303,1.37411
4/1/2000,CHL,CLP,Chile,1260,514,2.451361868,0.09436,0.02964,-0.18342,-0.11618,1.05023,4509.623598,1.868195778,0.41419,0.17948,-0.05237,0.11876,0.9925
4/1/2000,CHN,CNY,China,9.9,8.28,1.195652174,-0.46623,-0.49779,-0.60171,-0.56891,0,1620.622125,1.81559333,-0.29024,-0.40804,-0.5244,-0.43851,0
4/1/2000,CZE,CZK,Czech Republic,54.37,39.1,1.390537084,-0.37922,-0.41594,-0.5368,-0.49865,0.16299,9020.845025,1.950335332,-0.23158,-0.35912,-0.4851,-0.39211,0.08265
4/1/2000,DNK,DKK,Denmark,24.75,8.04,3.078358209,0.37427,0.29299,0.02544,0.10988,1.57463,21146.56868,2.171118449,0.52812,0.2745,0.02398,0.20889,1.15303
4/1/2000,EUZ,EUR,Euro area,2.56,1.075268817,2.3808,0.06286,0,-0.20693,-0.14162,0.99121,19441.24026,2.140068118,0.199,0,-0.19657,-0.05148,0.68931
